Zafra-Semana,Ingenio,Zafra,Semana,CAÑA CONTRATADA CORTE MANUAL (TON),CAÑA CONTRATADA COSECHA MEC (TON),CAÑA DE OTROS INGENIOS (TON),CAÑA LIBRE (NO CONTRATADA) (TON),CAÑA MOLIDA BRUTA TOTAL (TON),CAÑA UTILIZADA PARA SEMILLA (TON),CAÑA ENVIADA A OTROS INGENIOS (TON),CAÑA DESTINADA A OTROS FINES (TON),TOTAL CAÑA COSECHADA (TON),TOTAL CAÑA COSECHADA (HA),CAÑA MOLIDA NO PROGRAMADA (TON)
202022,El Refugio,2020,22,215971.46,0,0,0,215971.46,0,11387.23,0,227358.69,3360.785,0
202023,El Refugio,2020,23,244389.48,0,0,0,244389.48,0,11387.23,0,255776.71,3865.7,0
202024,El Refugio,2020,24,268396.84,0,0,0,268396.84,0,12891.87,0,281288.71,4309.836,0
202025,El Refugio,2020,25,291168.5,0,0,0,291168.5,0,15725.16,0,306893.66,4802.466,0
202026,El Refugio,2020,26,315701.17,0,0,0,315701.17,0,18741.75,0,334442.92,5337.526,0
202027,El Refugio,2020,27,338046.24,0,0,0,338046.24,0,21688.38,0,359734.62,6878.06,0
202028,El Refugio,2020,28,359756.18,0,0,0,359756.18,0,23034.48,0,382790.66,7457.19,0
202029,El Refugio,2020,29,359756.18,0,0,0,359756.18,0,35700.19,0,395456.37,6662.971,0
202030,El Refugio,2020,30,359756.18,0,0,0,359756.18,0,38908.68,0,398664.86,7726.07,0
202031,El Refugio,2020,31,359756.18,0,0,0,359756.18,0,38908.68,0,398664.86,7726.07,0
202032,El Refugio,2020,32,359756.18,0,0,0,359756.18,0,38908.68,0,398664.86,7726.07,0
202033,El Refugio,2020,33,359756.18,0,0,0,359756.18,0,38908.68,0,398664.86,7726.07,0
202034,El Refugio,2020,34,359756.18,0,0,0,359756.18,0,38908.68,0,398664.86,7726.07,0
202035,El Refugio,2020,35,359756.18,0,0,0,359756.18,0,38908.68,0,398664.86,7726.07,0
202036,El Refugio,2020,36,359756.18,0,0,0,359756.18,0,38908.68,0,398664.86,7726.07,0
202037,El Refugio,2020,37,359756.18,0,0,0,359756.18,0,38908.68,0,398664.86,7726.07,0
202038,El Refugio,2020,38,359756.18,0,0,0,359756.18,0,38908.68,0,398664.86,7726.07,0
202039,El Refugio,2020,39,359756.18,0,0,0,359756.18,0,38908.68,0,398664.86,7726.07,0
202040,El Refugio,2020,40,359756.18,0,0,0,359756.18,0,38908.68,0,398664.86,7726.07,0
20207,La Margarita,2020,7,31133.59,0,312.33,392.08,31838,35,0,0,31873,760.533,0
20208,La Margarita,2020,8,63621.37,0,312.33,507.77,64441.47,317,0,0,64758.47,1362.12,0
20209,La Margarita,2020,9,102705,0,312.33,1219.14,104236.47,439,0,40,104715.47,0,0
202010,La Margarita,2020,10,147866.34,0,312.33,1339.8,149518.47,880,0,115,150513.47,2708.462,0
202011,La Margarita,2020,11,193262.34,0,312.33,1339.8,194914.47,1732,0,115,196761.47,3492.68,0
202012,La Margarita,2020,12,236133.14,0,312.33,1880,238325.47,2518.2,0,160,241003.67,3983.003,0
202013,La Margarita,2020,13,280914.88,0,312.33,2213.26,283440.47,4046,0,439,287925.47,4583.855,0
202015,La Margarita,2020,15,230004.19,0,0,0,230004.19,1539,0,50,231593.19,3690.947,0
202016,La Margarita,2020,16,272509.94,0,0,1677.25,274187.19,1959,0,160,276306.19,4357.229,0
202017,La Margarita,2020,17,312663.28,0,0,2212.91,314876.19,2544,0,1322,318742.19,4943.663,0
202018,La Margarita,2020,18,336531.52,0,0,2212.91,338744.43,2630,0,1517,342891.43,5327.652,0
202019,La Margarita,2020,19,378091.36,0,0,2497.07,380588.43,2748,0,1730,385066.43,6096.962,0
202020,La Margarita,2020,20,418820.29,0,0,3313.14,422133.43,2949,0,2030,427112.43,6744.848,0
202021,La Margarita,2020,21,462685.9,0,0,3590.53,466276.43,3060,0,2651,471987.43,7454.096,0
202022,La Margarita,2020,22,504177.5,0,0,3846.93,508024.43,3060,0,2651,513735.43,8074.839,0
202023,La Margarita,2020,23,542027.941,3301.419,0,4907.07,550236.43,3585,0,4255,558076.43,8859.573,0
202024,La Margarita,2020,24,579309.923,4756.857,0,5382.65,589449.43,3975,0,4950,598374.43,9328.443,0
202025,La Margarita,2020,25,618006.518,6571.192,0,6660.72,631238.43,4291,0,5106,640635.43,10287.633,0
202026,La Margarita,2020,26,654590.172,7448.348,0,7776.91,669815.43,4545,0,5363,679723.43,11128.156,0
202027,La Margarita,2020,27,692281.237,8731.173,0,8839.02,709851.43,4729,0,6130,720710.43,11985.896,0
202028,La Margarita,2020,28,766695.801,9998.519,0,9971.22,786665.54,5442,0,11485,803592.54,13148.865,0
202029,La Margarita,2020,29,766695.801,9998.519,0,9971.22,786665.54,5442,0,11485,803592.54,13148.865,0
202030,La Margarita,2020,30,815241.91,10938.63,0,0,826180.54,5772,0,12797,844749.54,13764.126,0
202031,La Margarita,2020,31,804842.56,10938.63,0,10399.35,826180.54,5772,0,12797,844749.54,13764.126,0
202032,La Margarita,2020,32,881460.781,11879.909,0,12830.85,906171.54,6986,0,15975,929132.54,15453.068,0
